workload,frame,frame_ms,gc_bytes,gpu_ms,RR.UI,RR.Streaming,RR.IndustryTick,RR.MachineViews,RR.WeatherViews,RR.TorchRefresh,RR.PassiveTick,RR.HostileTick,RR.SurvivalTick,alloc_RR.UI,alloc_RR.Streaming,alloc_RR.IndustryTick,alloc_RR.MachineViews,alloc_RR.WeatherViews,alloc_RR.TorchRefresh,alloc_RR.PassiveTick,alloc_RR.HostileTick,alloc_RR.SurvivalTick,machine_views_created,crate_views_created,timing_timestamp,cpu_main_ms,cpu_render_ms,present_wait_ms,draw_calls,batches,set_pass,srp_draw_calls,shadow_casters
stress-factory-farm-mobs-clear,85,28.3067,-1,28.6003,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3276273905842,4.8991,3.1393,22.7230,-1,-1,171,7253,2437
stress-factory-farm-mobs-clear,86,28.4434,-1,28.5407,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3276274182181,12.6538,3.7814,17.6565,-1,-1,171,7253,2437
stress-factory-farm-mobs-clear,87,27.2477,-1,28.2747,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3276274485400,11.0353,3.6193,17.6127,-1,-1,171,7253,2437
stress-factory-farm-mobs-clear,88,23.8685,-1,27.4516,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3276274772000,5.5113,3.5149,22.7837,-1,-1,171,7253,2437
stress-factory-farm-mobs-clear,115,24.8262,-1,18.1865,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3276279113092,4.5640,3.1308,13.7305,-1,-1,171,7248,2433
stress-factory-farm-mobs-clear,116,43.5663,-1,24.0812,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3276279296097,5.7635,4.0202,11.7323,-1,-1,171,7248,2433
stress-factory-farm-mobs-clear,117,32.0840,-1,44.0353,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3276279471178,11.0147,3.2793,8.1747,-1,-1,171,7248,2433
stress-factory-farm-mobs-clear,118,28.1434,-1,31.8766,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3276279663161,5.0576,6.4340,19.7737,-1,-1,171,7248,2433
stress-factory-farm-mobs-clear,119,25.5366,-1,27.9747,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3276279911649,12.1316,3.3996,31.3865,-1,-1,171,7244,2433
stress-factory-farm-mobs-clear,120,25.6764,-1,25.9379,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3276280347142,14.8945,3.5033,17.1747,-1,-1,171,7244,2433
stress-factory-farm-mobs-clear,121,23.3137,-1,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3276280667958,11.8721,3.4620,16.2561,-1,-1,171,7244,2434
stress-factory-farm-mobs-clear,122,23.3612,-1,23.1281,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3276280949383,5.1018,3.5690,20.4213,-1,-1,171,7249,2435
stress-factory-farm-mobs-clear,182,22.3643,-1,12.4106,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3276289676285,6.5720,4.5366,9.3894,-1,-1,171,7248,2433
stress-factory-farm-mobs-clear,183,28.5605,-1,22.3027,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3276289835977,5.2153,4.1361,5.0799,-1,-1,170,7248,2432
stress-factory-farm-mobs-clear,184,30.6522,-1,29.0309,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3276289939075,5.8040,4.2551,7.1503,-1,-1,170,7248,2432
stress-factory-farm-mobs-clear,185,28.8619,-1,29.8422,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3276290068729,13.1282,4.0647,9.2249,-1,-1,170,7246,2432
stress-factory-farm-mobs-clear,186,29.8604,-1,29.0099,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3276290292389,5.6869,4.5623,22.8598,-1,-1,170,7244,2432
stress-factory-farm-mobs-clear,187,28.6531,-1,29.7260,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3276290578002,13.3102,4.3785,17.3251,-1,-1,170,7245,2433
stress-factory-farm-mobs-clear,188,28.0455,-1,27.6890,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3276290884505,5.2607,4.3349,23.5860,-1,-1,170,7249,2433
stress-factory-farm-mobs-clear,207,23.2470,-1,22.4297,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3276293789759,4.5032,3.4496,6.8154,-1,-1,170,7248,2431
stress-factory-farm-mobs-clear,356,23.8576,-1,17.2503,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3276314183925,5.0844,3.3943,8.6828,-1,-1,170,7242,2422
