timestamp, temperature.gpu, clocks.current.graphics [MHz], utilization.gpu [%], power.draw [W], clocks_event_reasons.sw_thermal_slowdown
2026/09/20 03:32:42.071, 85, 1065 MHz, 97 %, 62.35 W, Active
2026/09/20 03:32:44.102, 85, 1065 MHz, 97 %, 62.21 W, Active
2026/09/20 03:32:46.129, 85, 1020 MHz, 97 %, 62.85 W, Active
2026/09/20 03:32:48.150, 85, 1020 MHz, 97 %, 62.68 W, Active
2026/09/20 03:32:50.167, 85, 1035 MHz, 96 %, 62.93 W, Active
2026/09/20 03:32:52.191, 85, 1050 MHz, 96 %, 62.26 W, Active
2026/09/20 03:32:54.212, 85, 1035 MHz, 96 %, 62.21 W, Active
2026/09/20 03:32:56.237, 85, 1065 MHz, 97 %, 63.16 W, Active
2026/09/20 03:32:58.264, 85, 1050 MHz, 97 %, 62.44 W, Active
2026/09/20 03:33:00.280, 85, 1020 MHz, 96 %, 61.80 W, Active
2026/09/20 03:33:02.294, 85, 1050 MHz, 97 %, 62.45 W, Active
2026/09/20 03:33:04.310, 85, 1050 MHz, 96 %, 62.74 W, Active
2026/09/20 03:33:06.321, 85, 1020 MHz, 97 %, 61.92 W, Active
2026/09/20 03:33:08.345, 85, 1020 MHz, 96 %, 62.20 W, Active
2026/09/20 03:33:10.365, 85, 1035 MHz, 95 %, 62.80 W, Active
2026/09/20 03:33:12.391, 85, 1035 MHz, 97 %, 62.62 W, Active
2026/09/20 03:33:14.412, 85, 1035 MHz, 97 %, 62.92 W, Active
2026/09/20 03:33:16.430, 85, 1065 MHz, 95 %, 61.94 W, Active
2026/09/20 03:33:18.449, 85, 1050 MHz, 96 %, 62.46 W, Active
2026/09/20 03:33:20.471, 85, 1050 MHz, 96 %, 62.26 W, Active
2026/09/20 03:33:22.501, 85, 1020 MHz, 96 %, 62.42 W, Active
2026/09/20 03:33:24.524, 85, 1035 MHz, 96 %, 62.10 W, Active
2026/09/20 03:33:26.544, 85, 1080 MHz, 96 %, 62.79 W, Active
2026/09/20 03:33:28.570, 85, 1050 MHz, 96 %, 62.24 W, Active
2026/09/20 03:33:30.590, 85, 1050 MHz, 95 %, 62.22 W, Active
2026/09/20 03:33:32.607, 85, 1020 MHz, 91 %, 62.38 W, Active
2026/09/20 03:33:34.626, 85, 1020 MHz, 96 %, 62.66 W, Active
2026/09/20 03:33:36.650, 85, 1050 MHz, 97 %, 62.85 W, Active
