timestamp, temperature.gpu, clocks.current.graphics [MHz], utilization.gpu [%], power.draw [W], clocks_event_reasons.sw_thermal_slowdown
2026/09/22 13:03:13.639, 83, 300 MHz, 97 %, 41.88 W, Active
2026/09/22 13:03:15.665, 84, 675 MHz, 99 %, 50.65 W, Active
2026/09/22 13:03:17.690, 84, 735 MHz, 98 %, 52.20 W, Active
2026/09/22 13:03:19.713, 84, 300 MHz, 98 %, 42.76 W, Active
2026/09/22 13:03:21.727, 83, 300 MHz, 94 %, 41.59 W, Not Active
2026/09/22 13:03:23.781, 84, 1005 MHz, 96 %, 60.92 W, Not Active
2026/09/22 13:03:25.813, 86, 1050 MHz, 95 %, 64.38 W, Active
2026/09/22 13:03:27.847, 83, 300 MHz, 90 %, 42.26 W, Active
2026/09/22 13:03:29.869, 84, 855 MHz, 98 %, 51.73 W, Active
2026/09/22 13:03:31.897, 85, 1080 MHz, 98 %, 62.77 W, Active
2026/09/22 13:03:33.917, 85, 1110 MHz, 96 %, 62.72 W, Active
2026/09/22 13:03:35.938, 86, 1065 MHz, 99 %, 65.41 W, Active
2026/09/22 13:03:37.956, 84, 300 MHz, 97 %, 42.56 W, Active
2026/09/22 13:03:39.971, 86, 585 MHz, 82 %, 65.96 W, Active
2026/09/22 13:03:41.994, 85, 1110 MHz, 81 %, 64.25 W, Active
2026/09/22 13:03:44.013, 85, 1200 MHz, 78 %, 62.32 W, Active
2026/09/22 13:03:46.035, 86, 1155 MHz, 77 %, 63.62 W, Active
